ID,2013,2014,2015,2016,2017,2018
55954162900,8,8,8,8,10,10
7006457204,4,7,12,13,15,15
14059659200,3,3,3,5,5,5
55543862600,10,10,10,10,10,10
55752259700,17,38,47,61,73,79
25927385100,1,1,1,2,2,2
55961362600,1,2,3,6,6,8
55912908500,3,7,7,19,38,38
7003592275,5,5,5,8,8,16
55647324600,6,7,7,8,8,8
56039824600,4,4,4,4,4,6
35090201500,7,11,14,20,20,21
55734975600,4,4,7,7,12,13
8960937100,2,2,4,4,5,5
55557400700,3,3,3,3,3,11
55855352400,2,2,2,2,2,11
35090669600,8,8,8,8,19,19
56034955500,3,3,3,5,14,14
8513413900,4,4,4,4,4,4
42961988100,3,3,4,8,10,10
55953747100,5,5,5,5,11,11
55855138700,1,11,13,15,15,21
55830867900,3,3,3,7,7,13
55891291400,11,11,11,15,16,16
55403322000,8,8,8,8,8,8
36494807700,2,2,2,2,2,2
10045724700,4,4,4,9,13,13
55101496300,6,8,9,9,9,9
24829542200,4,4,4,4,14,14
55539645100,2,2,3,3,4,4
14024888300,5,5,5,5,5,5
55942683600,6,6,6,6,6,7
35614941000,3,3,3,3,3,3
7005852933,13,13,13,13,13,13
7006627927,3,4,4,4,5,5
7102011088,6,6,6,6,6,6
55813560700,5,5,5,5,5,5
6506377152,7,7,7,7,7,7
56081042600,3,3,3,3,3,3
56912806200,4,7,11,13,17,25
55876906900,9,9,9,9,9,9
44160975900,4,4,7,7,7,7
36646395300,3,5,6,13,16,16
6602733288,4,4,9,9,9,9
7102385946,4,8,8,8,12,12
26323789100,6,8,8,8,8,8
7201779543,3,8,13,22,24,25
7003909428,1,1,3,3,3,3
56073374100,3,5,6,7,7,11
54385144100,6,6,6,6,6,6
55486056500,8,8,8,8,8,8
55906870300,26,26,26,26,26,26
55146072000,5,5,5,5,5,5
7402422328,5,5,5,5,5,5
6603562710,3,6,9,11,17,21
24071195100,11,11,18,18,18,18
23978438000,1,1,6,7,7,8
8235044600,6,6,6,21,21,21
56016589100,6,6,9,11,14,21
57194148500,3,3,4,4,4,4
7006483645,16,16,16,16,16,16
56717467400,10,10,10,10,10,10
16679813900,4,4,4,4,4,4
54381685100,6,7,7,7,7,7
55580444000,8,8,8,8,20,21
37021362300,5,5,5,5,5,5
8837646800,2,2,2,5,5,5
22935426600,6,6,6,6,6,6
55340065100,16,16,16,16,26,26
15725750100,3,3,3,3,3,3
26657317700,28,28,28,28,36,36
16512874900,3,3,3,3,15,15
10040033000,1,1,1,1,1,1
6506989380,3,3,5,5,5,6
14018462300,14,14,16,16,17,17
37041159700,3,9,14,21,30,46
29067881400,11,15,16,18,19,23
56017224300,2,2,2,2,3,3
55934413200,4,4,4,4,4,4
56028819000,2,5,5,5,6,6
49862971300,4,4,4,4,7,12
55804562000,26,26,26,26,26,26
55389448300,3,10,10,10,10,18
25422092300,8,17,25,25,25,31
13309393200,6,9,9,9,9,9
55542185400,7,7,7,7,7,7
56081767200,3,3,3,3,4,4
55759074700,6,6,6,8,8,8
7004150899,6,6,6,6,6,6
36128446600,12,12,12,12,12,12
23987496900,3,3,3,3,3,3
55681712700,2,2,2,2,2,2
55920714100,5,9,9,15,18,19
36711413000,5,5,5,18,21,24
55940561100,3,3,3,3,3,3
56512069800,62,83,84,84,97,106
55818145200,10,10,10,23,23,23
55887977400,8,10,11,11,18,19
36720377900,21,21,27,27,28,28
7006462618,11,11,11,11,18,18
23092885400,6,6,9,15,15,15
36007655200,28,28,28,28,44,44
56171740700,1,1,3,3,6,6
57203057685,4,4,6,8,13,13
56025654500,3,3,3,5,5,5
7202871891,5,5,5,5,5,21
55105171700,5,6,7,8,9,9
55907637700,3,6,8,8,10,13
7102196556,2,6,12,12,16,16
55967776000,4,5,7,10,13,19
53265147700,6,7,7,7,8,8
55897428600,4,4,4,4,4,4
55557808100,5,31,31,31,31,31
13610836500,7,7,7,7,7,7
