Unnamed: 0,ID,2015,2016,2017,2018,start_year
4605,55496250200,12,13,17,17,2015
4606,7403216862,5,5,5,5,2015
4607,25655276400,4,4,4,4,2015
4618,12751782600,3,3,3,3,2015
4626,36538110300,2,4,10,10,2015
4628,7801692291,3,5,5,5,2015
4630,55248149200,4,4,4,4,2015
4631,55820082100,8,8,8,8,2015
4643,13607797300,56,56,56,56,2015
4648,6603112432,10,10,10,10,2015
4650,45061080100,5,11,11,11,2015
4656,56743107400,2,2,2,2,2015
4664,56013704900,9,9,9,9,2015
4670,57194778291,2,2,2,2,2015
4671,36156120300,7,7,7,7,2015
4672,56725757900,3,3,3,3,2015
4674,56401895100,4,4,4,4,2015
4677,57188865753,5,5,6,6,2015
4683,23394289300,9,9,9,9,2015
4690,57189325456,4,5,5,5,2015
4696,56507359300,3,3,3,3,2015
4698,56524641900,1,1,3,3,2015
4703,57023650700,3,4,4,4,2015
4718,56597630000,11,11,11,11,2015
4727,57172051500,4,4,4,4,2015
4738,26656081300,2,5,5,7,2015
4745,55969619900,10,10,10,10,2015
4752,56825967100,3,3,3,3,2015
4758,24553833600,64,112,112,112,2015
4770,57170614600,7,7,11,11,2015
4772,57156610700,3,3,4,4,2015
4775,14522681300,8,8,8,8,2015
4786,57031942300,3,6,6,6,2015
4790,6602658690,2,2,9,9,2015
4792,8983767700,6,7,9,10,2015
4796,6601973853,14,14,14,14,2015
4817,57022803800,5,5,5,6,2015
4831,57188880145,6,6,6,6,2015
4837,22734282600,9,9,9,9,2015
4840,49661664400,9,33,34,34,2015
4846,56878582200,2,2,6,7,2015
4854,57155710300,2,4,4,4,2015
4857,55247924500,7,7,7,7,2015
4859,56883824300,3,3,3,3,2015
4864,23501473800,2,2,2,3,2015
4882,35173722900,4,4,4,4,2015
4888,56507378200,5,7,7,7,2015
4900,57159354500,3,3,3,3,2015
4902,57023694500,25,25,25,25,2015
4919,56473469500,2,2,2,2,2015
4924,35753225800,3,3,3,3,2015
4931,57189348842,3,3,3,3,2015
4934,57110348200,2,2,2,2,2015
4936,7004143690,1,1,1,1,2015
4957,55637078900,2,2,2,2,2015
4959,56124518800,2,2,2,2,2015
4965,57197528671,4,4,4,7,2015
4973,56808997300,8,8,8,8,2015
4979,14423919200,3,5,5,5,2015
4992,57038575600,9,9,9,9,2015
4998,23967105900,63,63,63,63,2015
5001,55938103900,8,8,8,8,2015
5007,37117948900,15,15,15,15,2015
5009,50561624500,2,2,5,5,2015
5020,56799678800,73,73,73,73,2015
5025,56956264600,3,3,3,3,2015
5028,56784146500,83,83,83,83,2015
5034,56517722800,1,1,1,1,2015
5036,56199629400,4,6,6,6,2015
5038,9040468200,3,3,3,3,2015
5041,57021290600,7,7,7,7,2015
5047,56641118300,4,4,5,5,2015
5049,57044825600,2,2,2,2,2015
5067,55938855400,5,5,5,5,2015
5078,12775379100,9,9,9,9,2015
5084,55788198200,3,3,3,3,2015
5110,6602278673,4,4,4,4,2015
5115,55634285000,5,5,5,5,2015
5124,56705604600,2,2,2,2,2015
