Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
7230,16646203500,3,3,3,3,3,4,4,4,4,9,9,9,2007
7231,6506948287,9,9,9,9,9,9,9,9,9,9,9,9,2007
7254,7103360293,5,5,5,5,5,5,5,5,5,5,5,5,2007
7280,14423937500,8,8,8,8,8,8,8,8,8,8,8,8,2007
7296,23468042400,3,3,3,3,3,3,3,3,3,3,3,3,2007
7337,7003383669,6,6,6,6,6,6,6,6,6,6,6,6,2007
7432,7004796949,6,6,6,6,6,6,6,6,6,6,6,6,2007
7442,23974655300,4,4,4,4,4,4,4,4,4,4,4,4,2007
7460,8977363000,10,10,10,10,10,10,10,10,10,10,10,10,2007
7463,6507815235,6,8,8,8,8,8,8,8,8,8,8,8,2007
7465,14022041000,4,4,4,4,4,4,4,4,4,4,4,4,2007
7507,14521493900,9,9,9,9,9,9,9,9,9,9,9,9,2007
7519,22979226900,9,13,15,15,15,15,15,15,15,15,15,15,2007
7551,23092203200,2,2,2,2,2,2,2,2,2,2,2,2,2007
7553,23390234900,2,2,3,4,4,4,4,4,4,4,4,4,2007
7555,23990151100,3,6,9,9,9,9,11,11,11,11,11,16,2007
7560,7005707664,5,5,5,5,5,5,5,5,5,5,5,5,2007
7570,7005300654,4,4,4,4,4,4,4,4,4,4,4,4,2007
7633,34573019300,7,7,7,7,7,7,7,7,7,7,7,7,2007
7635,23568671500,17,17,17,17,17,17,17,17,17,17,17,17,2007
7667,57199340793,1,2,2,2,2,2,2,2,2,2,2,2,2007
7671,57198569700,11,11,11,11,11,11,11,11,11,11,11,11,2007
7682,18038129600,2,2,2,2,2,2,2,2,2,2,2,2,2007
7782,24478041100,2,4,4,4,4,4,4,4,4,4,4,4,2007
7784,23992333600,5,5,5,5,5,5,5,5,5,5,5,5,2007
7795,6507460498,2,2,2,5,5,7,7,7,7,8,8,8,2007
7819,21742024000,3,3,3,3,3,3,3,3,3,3,3,3,2007
7823,6507801765,7,12,14,14,14,16,22,22,24,28,28,28,2007
7828,57200740328,2,2,2,2,2,2,2,2,2,2,2,2,2007
7843,16029349900,12,12,12,12,12,12,12,12,12,12,12,12,2007
7856,36038915700,6,6,6,6,6,6,6,6,6,6,6,6,2007
7882,7103071727,3,6,16,16,19,19,25,25,25,25,25,25,2007
7889,16679297300,2,2,3,3,3,3,3,3,3,3,3,3,2007
7902,24467396100,15,15,15,15,15,15,15,15,15,15,15,15,2007
7912,36860321100,2,2,2,2,2,2,2,2,2,2,2,2,2007
7933,7003328233,4,4,4,4,4,4,4,4,4,4,4,4,2007
7951,55461094600,1,1,1,1,1,1,1,1,1,1,1,1,2007
7971,6602111300,10,10,10,10,10,23,40,40,59,59,59,59,2007
8010,23466267100,20,31,31,36,36,36,36,36,36,107,107,107,2007
8029,15757730900,6,7,7,7,10,10,10,10,10,10,10,10,2007
8038,24177855000,5,5,5,5,5,5,5,5,5,5,5,5,2007
8047,6602077926,3,3,3,3,3,3,3,3,3,3,3,3,2007
