Unnamed: 0,ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
8843,22133923100,25,25,25,25,31,31,31,31,31,31,31,31,31,31,31,31,31,2002
8871,7006150957,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,2002
8999,55405109900,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
9001,56264191700,23,23,23,23,23,23,23,23,23,23,46,46,46,46,46,46,46,2002
9073,55389232400,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2002
9229,55665216500,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
9242,7005035841,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
9284,56051227300,13,13,13,13,13,13,13,25,25,25,25,25,25,25,25,25,25,2002
9359,7102336869,4,4,4,4,4,4,4,4,14,14,14,14,23,31,33,33,36,2002
9379,57196601750,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
9407,6505479747,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
9436,7201535603,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
9437,6504235652,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
9477,6507116454,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
9482,57044775400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
9514,7202450647,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
9549,36776104600,3,6,7,8,9,9,9,10,10,10,10,10,10,15,15,15,15,2002
9702,7006824081,11,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2002
9783,6701797288,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2002
